modelo,cor,Mercado Livre,Shopee Store,Shopee Conta 2,Shopee Conta 3,Shopee total,Amazon,Total 60d,Média diária,Média semanal,Estoque atual,Inbound,Cobertura dias,Recomendação compra semanal,Prioridade,Detalhe estoque
Tulipa,Rosa,170,487,339,363,1189,114,1473,24.55,171.8,797,0,32.5,0,Monitorar,TL250R:682; TL250HRRS:115; TL250RS_G:0
Tulipa,Preto,170,487,339,363,1189,462,1821,30.35,212.5,12,0,0.4,840,Comprar agora,TL250P:0; TL250HRPT:12; TL250PT_G:0
Tulipa,Branco,170,487,339,363,1189,384,1743,29.05,203.3,337,0,11.6,480,Comprar agora,TL250B:184; TL250HRBR:153; TL250BR_G:0
Tulipa,Azul,170,487,339,363,1189,66,1425,23.75,166.2,567,0,23.9,108,Comprar/monitorar,TL250Z:405; TL250HRAZ:162; TL250AZ_G:0
Tulipa,Verde,170,487,339,363,1189,132,1491,24.85,174.0,494,0,19.9,204,Comprar/monitorar,TL250V:354; TL250HRVD:140; TL250VD_G:0
Tulipa,Amarelo,170,487,339,363,1189,156,1515,25.25,176.8,357,0,14.1,360,Comprar/monitorar,TL250A:263; TL250HRAM:94; TL250AM_G:0
Paris,Rosa,93,313,63,6,382,203,678,11.3,79.1,696,0,61.6,0,Não comprar,54171R_B:696; 54171R_G:0
Paris,Preto,93,175,51,6,232,203,528,8.8,61.6,267,0,30.3,0,Monitorar,54171P_B:267; 54171P_G:0
Paris,Branco,93,655,93,6,754,107,954,15.9,111.3,858,0,54.0,0,Não comprar,54171B_B:858; 54171B_G:0
Paris,Azul,93,175,51,6,232,47,372,6.2,43.4,504,0,81.3,0,Não comprar,54171AZ_B:504; 54171AZ_G:0
Paris,Verde,93,175,51,6,232,47,372,6.2,43.4,376,0,60.6,0,Não comprar,54171VDE_B:376; 54171VDE_G:0
Paris,Amarelo,93,175,51,6,232,59,384,6.4,44.8,342,0,53.4,0,Não comprar,54171AMR_B:342; 54171AMR_G:0
Canelada,Rosa,41,0,16,523,539,33,613,10.22,71.5,766,0,75.0,0,Não comprar,CAC250R:432; CAC250RS_G:0; CAC250RRRS:334
Canelada,Preto,365,0,16,1,17,45,427,7.12,49.8,190,0,26.7,0,Comprar/monitorar,CAC250P:169; CAC250PT_G:0; CAC250RRPT:21
Canelada,Branco,77,102,16,13,131,33,241,4.02,28.1,770,0,191.5,0,Não comprar,CAC250B:411; CAC250BR_G:0; CAC250RRBR:359
Canelada,Azul,137,0,16,1,17,33,187,3.12,21.8,476,0,152.6,0,Não comprar,CAC250AZ:469; CAC250AZ_G:0; CAC250RRAZ:7
Canelada,Verde,209,0,16,1,17,33,259,4.32,30.2,293,0,67.8,0,Não comprar,CAC250VD:240; CAC250RRVD:53; CAC250VD_G:0
Canelada,Amarelo,29,24,16,1,41,33,103,1.72,12.0,334,0,194.2,0,Não comprar,CAC250AM:209; CAC250RRAM:125; CAC250AM_G:0
Reta,Rosa,211,20,348,73,441,28,680,11.33,79.3,0,0,0.0,324,Comprar agora,CAR200R:0; CAR200RS_G:0
Reta,Preto,211,20,348,73,441,52,704,11.73,82.1,56,0,4.8,276,Comprar agora,CAR200P:56; CAR200PT_G:0
Reta,Branco,211,20,348,73,441,46,698,11.63,81.4,0,0,0.0,336,Comprar agora,CAR200B:0; CAR200BR_G:0
Reta,Azul,211,20,348,73,441,10,662,11.03,77.2,114,0,10.3,204,Comprar agora,CAR200AZ:114; CAR200AZ_G:0
Reta,Verde,211,20,348,73,441,22,674,11.23,78.6,66,0,5.9,252,Comprar agora,CAR200VD:66; CAR200VD_G:0
Reta,Amarelo,211,20,348,73,441,28,680,11.33,79.3,77,0,6.8,252,Comprar agora,CAR200AM:77; CAR200AM_G:0
