component,searched_code,id,codigo,nome,unidade,origem,ncm,marca,gtin,categoria,preco,precoCusto,indica_caixa_kit_conj,descricao_evidencia
YW1520,YW1520,16641870562,YW1520,Pote Hermético Retangular 1520ml,UN,2,7013.49.00,GB IMPORTADORA,,11392867,0,0,False,Pote Hermético Retangular 1520ml  
YW1520,YW1520AZ,16486431882,YW1520AZ,Pote de Vidro Hermético 1520ml,,2,7013.49.00,,,11392867,0,0,False,Pote de Vidro Hermético 1520ml  
YW1520,YW1520RC,16486585761,YW1520RC,"Pote de Vidro Hermético 1520ml, vedação na cor laranja",UN,2,7013.49.00,BUDAMIX,7898972482961,11392867,0,0,False,"Pote de Vidro Hermético 1520ml, vedação na cor laranja  "
YW1520,CXYW1520RC,16486568971,CXYW1520RC,"Caixa 12 Pote de Vidro Hermético 1520ml, vedação na cor laranja",UN,2,7013.49.00,BUDAMIX,,11392867,0,0,True,"Caixa 12 Pote de Vidro Hermético 1520ml, vedação na cor laranja  "
YW320SQ,YW320SQ,16641870567,YW320SQ,Pote Hermético Quadrado 320ml,UN,2,7013.49.00,GB IMPORTADORA,,11392867,0,0,False,Pote Hermético Quadrado 320ml  
YW320SQ,YW320,16506651672,YW320,"Pote de Vidro Hermético 320ml QUADRADO 12,1x12,1x7,6",,2,7013.49.00,,,11392867,0,0,False,"Pote de Vidro Hermético 320ml QUADRADO 12,1x12,1x7,6  "
YW320SQ,CXYW320SQ,16488383713,CXYW320SQ,"Caixa Pote de Vidro Hermetico 320ml Quadrado 12,1x12,1x7,6",UN,2,7013.49.00,BUDAMIX,,11392867,254.4,0,True,"Caixa Pote de Vidro Hermetico 320ml Quadrado 12,1x12,1x7,6  "
YW520SQ,YW520SQ,16641870570,YW520SQ,Pote de Vidro Hermético 520ml QUADRADO 14x14x7,UN,2,7013.49.00,GB IMPORTADORA,7898975019058,11392867,0,0,False,Pote de Vidro Hermético 520ml QUADRADO 14x14x7  
YW520SQ,YW520SQ_T,16486586279,YW520SQ_T,Pote de Vidro Hermético 520ml,,2,7013.49.00,,,11392867,0,0,False,Pote de Vidro Hermético 520ml  
YW520SQ,CXYW520SQ,16486570265,CXYW520SQ,Caixa 24 Pote de Vidro Hermético 520ml,UN,2,7013.49.00,BUDAMIX,,11392867,0,0,True,Caixa 24 Pote de Vidro Hermético 520ml  
