								PROMO

ESTOQUE	SKU BASE	CODIGO ASIN	SKU ANUNCIO	PRODUTO	PREÇO DE CUSTO	PREÇO DE VENDA	COMISSÃO AMZ	TARIFA FBA	IMPOSTO	CAIXA	EMBALGEM	FRETE	ADS	DEVOLUÇÕES	PARCELAMENTO	MARGEM	LUCRO LIQ
10.314	IMB501V_T	B0GSWLK5F3	IMB501T-vermelho	Conjunto de 5 Potes, Tampa Vermelha	R$ 7,82	R$ 25,90	R$ 3,11	R$ 5,00	R$ 1,81	R$ 1,20	R$ 0,50	R$ 0,00	R$ 1,30	R$ 1,04	R$ 0,00	16%	R$ 4,13
10.351	IMB501P_T	B0GSWJ91JM	IMB501T-preto	Conjunto de 5 Potes, Tampa Preta	R$ 7,82	R$ 25,90	R$ 3,11	R$ 5,00	R$ 1,81	R$ 1,20	R$ 0,50	R$ 0,00	R$ 1,30	R$ 1,04	R$ 0,00	16%	R$ 4,13
8.007	IMB501C_T	B0GSWRMDRG	IMB501T-cinza	Conjunto de 5 Potes, Tampa Cinza	R$ 7,82	R$ 25,90	R$ 3,11	R$ 5,00	R$ 1,81	R$ 1,20	R$ 0,50	R$ 0,00	R$ 1,30	R$ 1,04	R$ 0,00	16%	R$ 4,13
768	001	B0DXWRQRQ4	001	Conj. 3 Potes de Vidro Hermético 520ml 2 Potes de Vidro Hermético 800ml	R$ 26,32	R$ 129,90	R$ 15,59	R$ 0,00	R$ 9,09	R$ 1,20	R$ 0,50	R$ 0,00	R$ 25,98	R$ 5,20	R$ 1,95	34%	R$ 44,07
115	003	B0DXWR7KDH	003	Conj. 3 Potes de Vidro Hermético 520ml, 3 Potes de Vidro Hermético 800ml, 3 Potes de Vidro Hermético 1520ml	R$ 62,58	R$ 249,90	R$ 29,99	R$ 0,00	R$ 17,49	R$ 1,20	R$ 0,50	R$ 0,00	R$ 49,98	R$ 10,00	R$ 3,75	30%	R$ 74,41
172	004	B0DXX2LCRY	004	Conj. 3 Potes de Vidro Hermético 520ml, 2 Potes de Vidro Hermético 800ml, 2 Potes de Vidro Hermético 1520ml	R$ 46,42	R$ 119,90	R$ 14,39	R$ 0,00	R$ 8,39	R$ 1,20	R$ 0,50	R$ 0,00	R$ 23,98	R$ 4,80	R$ 1,80	15%	R$ 18,42
576	006	B0DY1XFQV6	006	Conj. 4 Potes de Vidro Hermético 520ml, 3 Potes de Vidro Hermético 800ml	R$ 37,13	R$ 129,90	R$ 15,59	R$ 0,00	R$ 9,09	R$ 1,20	R$ 0,50	R$ 0,00	R$ 25,98	R$ 5,20	R$ 1,95	26%	R$ 33,26
2.430	KIT3S096	B0FB124QTV	096	Kit 3pç (320+520+800ml) Quadrado	R$ 17,69	R$ 49,90	R$ 5,99	R$ 5,00	R$ 3,49	R$ 1,20	R$ 0,50	R$ 0,00	R$ 9,98	R$ 2,00	R$ 0,75	7%	R$ 3,30
1.331	KIT6S097	B0FB113GML	097	Kit 6pç (2x320+2x520+2x800ml) Quad.	R$ 33,58	R$ 84,90	R$ 10,19	R$ 5,00	R$ 5,94	R$ 1,20	R$ 0,50	R$ 0,00	R$ 16,98	R$ 3,40	R$ 1,27	8%	R$ 6,84
968	KIT9S098	B0FB15JQJS	098	Kit 9pç (3x320+3x520+3x800ml) Quad.	R$ 50,73	R$ 99,90	R$ 11,99	R$ 5,00	R$ 6,99	R$ 1,20	R$ 0,50	R$ 0,00	R$ 0,00	R$ 4,00	R$ 1,50	18%	R$ 17,99
404	KIT3S099	B0F9ZTX88N	099	Kit 3pç (640+1050+1520ml) Retangular	R$ 27,43	R$ 57,90	R$ 6,95	R$ 5,00	R$ 4,05	R$ 1,20	R$ 0,50	R$ 0,00	R$ 0,00	R$ 2,32	R$ 0,87	17%	R$ 9,58
465	KIT6S100	B0FB12NYS1	101	Kit 6pç (2x640+2x1050+2x1520ml) Ret.	R$ 52,16	R$ 131,70	R$ 15,80	R$ 0,00	R$ 9,22	R$ 1,20	R$ 0,50	R$ 0,00	R$ 0,00	R$ 5,27	R$ 1,98	35%	R$ 45,57
294	KIT9S101	B0F9ZTWK8G	102	Kit 9pç (3x640+3x1050+3x1520ml) Ret.	R$ 77,19	R$ 144,90	R$ 17,39	R$ 0,00	R$ 10,14	R$ 1,20	R$ 0,50	R$ 0,00	R$ 0,00	R$ 5,80	R$ 2,17	21%	R$ 30,51
1.959	KIT2YW320	B0FB17CGD5	KIT2YW320	Kit 2pç 320ml Quadrado	R$ 9,19	R$ 29,90	R$ 3,59	R$ 5,00	R$ 2,09	R$ 1,20	R$ 0,50	R$ 0,00	R$ 5,98	R$ 1,20	R$ 0,00	4%	R$ 1,15
977	KIT4YW320	B0FB4RSKJY	KIT4YW320	Kit 4pç 320ml Quadrado	R$ 17,55	R$ 48,90	R$ 5,87	R$ 5,00	R$ 3,42	R$ 1,20	R$ 0,50	R$ 0,00	R$ 9,78	R$ 1,96	R$ 0,73	6%	R$ 2,89
1.355	KIT2YW520SQ	B0F3JWX7X2	KIT2YW520SQ	Kit 2pç 520ml Quadrado	R$ 11,23	R$ 47,90	R$ 5,75	R$ 5,00	R$ 3,35	R$ 1,20	R$ 0,50	R$ 0,00	R$ 9,58	R$ 1,92	R$ 0,72	18%	R$ 8,65
760	KIT4YW520SQ	B0F3JYHXYJ	KIT4YW520SQ	Kit 4pç 520ml Quadrado	R$ 21,70	R$ 82,90	R$ 9,95	R$ 5,00	R$ 5,80	R$ 1,20	R$ 0,50	R$ 0,00	R$ 16,58	R$ 3,32	R$ 1,24	21%	R$ 17,61
