

ESTOQUE	SKU BASE	ID ANUNCIO	SKU DO ANUNCIO	PRODUTO	PREÇO DE CUSTO	PREÇO DE VENDA	COMISSÃO	TAXA TRANSAÇÃO	TAXA FIXA	IMPOSTO	FRETE	FULL	DEVOLUÇÔES	ADS	CAIXA	EMBALAGEM	BILHETE	COMISSÃO AFILIADO	MARGEM	LUCRO LIQ
0	CK4742_B	Sh1: 23993264258 / Sh2: 21699846840 / Sh3: 19599773292	CK4742_B	Jarra Medidora Vidro 500ml, Clink	R$ 6,61	R$ 25,90	R$ 5,18	R$ 0,00	R$ 4,00	R$ 1,81	R$ 0,00	R$ 0,00	R$ 1,04	R$ 1,81	R$ 1,20	R$ 0,50	R$ 0,05	R$ 0,65	12%	R$ 3,05
0	CK4742_B	Sh1: 23993264258 / Sh2: 21699846840 / Sh3: 19599773292	KIT2CK4742_B	Kit 2 Jarra Medidora Vidro 500ml, Clink	R$ 13,22	R$ 34,90	R$ 6,98	R$ 0,00	R$ 4,00	R$ 2,44	R$ 0,00	R$ 0,00	R$ 1,40	R$ 2,44	R$ 1,20	R$ 0,50	R$ 0,05	R$ 0,87	5%	R$ 1,80
10.351	IMB501C_T	Sh1: 22393168887 / Sh2: 23593154831 / Sh3: 23698553207	IMB501C_T	Conjunto de 5 Potes, Tampa Cinza	R$ 7,82	R$ 26,90	R$ 5,38	R$ 0,00	R$ 4,00	R$ 1,88	R$ 0,00	R$ 0,00	R$ 1,08	R$ 1,88	R$ 1,20	R$ 0,50	R$ 0,05	R$ 0,97	8%	R$ 2,14
8.007	IMB501P_T	Sh1: 22393168887 / Sh2: 23593154831 / Sh3: 23698553207	IMB501P_T	Conjunto de 5 Potes, Tampa Preta	R$ 7,82	R$ 26,90	R$ 5,38	R$ 0,00	R$ 4,00	R$ 1,88	R$ 0,00	R$ 0,00	R$ 1,08	R$ 1,88	R$ 1,20	R$ 0,50	R$ 0,05	R$ 0,97	8%	R$ 2,14
10.314	IMB501V_T	Sh1: 22393168887 / Sh2: 23593154831 / Sh3: 23698553207	IMB501V_T	Conjunto de 5 Potes, Tampa Vermelha	R$ 7,82	R$ 26,90	R$ 5,38	R$ 0,00	R$ 4,00	R$ 1,88	R$ 0,00	R$ 0,00	R$ 1,08	R$ 1,88	R$ 1,20	R$ 0,50	R$ 0,05	R$ 0,97	8%	R$ 2,14
173	KIT2YW1520	Sh1: 19399666704 / Sh2: 19098263852 / Sh3: 23498547061	KIT2YW1520	Kit 2pç 1520ml Retangular	R$ 22,70	R$ 56,90	R$ 11,38	R$ 0,00	R$ 4,00	R$ 3,98	R$ 0,00	R$ 0,00	R$ 2,28	R$ 3,98	R$ 1,20	R$ 0,50	R$ 0,05	R$ 3,81	5%	R$ 3,02
126	KIT4YW1520	Sh1: 20198092691 / Sh2: 23794193477 / Sh3: 23694198196	KIT4YW1520	Kit 4pç 1520ml Retangular	R$ 44,39	R$ 122,90	R$ 17,21	R$ 0,00	R$ 20,00	R$ 8,60	R$ 0,00	R$ 0,00	R$ 4,92	R$ 8,60	R$ 1,20	R$ 0,50	R$ 0,05	R$ 4,42	11%	R$ 13,01
656	KIT4YW1050	Sh1: 23294203062 / Sh2: 20999759353 / Sh3: 20899759361	KIT4YW1050	Kit 4pç 1050ml Retangular	R$ 32,90	R$ 89,90	R$ 12,59	R$ 0,00	R$ 16,00	R$ 6,29	R$ 0,00	R$ 0,00	R$ 3,60	R$ 6,29	R$ 1,20	R$ 0,50	R$ 0,05	R$ 3,24	8%	R$ 7,25
1.362	KIT2YW1050	Sh1: 23898684855 / Sh2: 19798186891 / Sh3: 21399773074	KIT2YW1050	Kit 2pç 1050ml Retangular	R$ 17,10	R$ 44,90	R$ 8,98	R$ 0,00	R$ 4,00	R$ 3,14	R$ 0,00	R$ 0,00	R$ 1,80	R$ 3,14	R$ 1,20	R$ 0,50	R$ 0,05	R$ 1,62	8%	R$ 3,37
729	KIT4YW800SQ	Sh1: 19197734236 / Sh2: 22097667091 / Sh3: 22398704811	KIT4YW800SQ_T	Kit 4pç 800ml Quadrado	R$ 27,11	R$ 69,90	R$ 13,98	R$ 0,00	R$ 4,00	R$ 4,89	R$ 0,00	R$ 0,00	R$ 2,80	R$ 4,89	R$ 1,20	R$ 0,50	R$ 0,05	R$ 2,52	11%	R$ 7,96
1.311	KIT2YW800SQ	Sh1: 22593169868 / Sh2: 23098681121 / Sh3: 23298676159	KIT2YW800SQ_T	Kit 2pç 800ml Quadrado	R$ 14,18	R$ 40,90	R$ 8,18	R$ 0,00	R$ 4,00	R$ 2,86	R$ 0,00	R$ 0,00	R$ 1,64	R$ 2,86	R$ 1,20	R$ 0,50	R$ 0,05	R$ 1,47	10%	R$ 3,96
1.684	KIT2YW640	Sh1: 23998684734 / Sh2: 22994198412 / Sh3: 18299819427	KIT2YW640	Kit 2pç 640ml Retangular	R$ 12,64	R$ 33,90	R$ 6,78	R$ 0,00	R$ 4,00	R$ 2,37	R$ 0,00	R$ 0,00	R$ 1,36	R$ 2,37	R$ 1,20	R$ 0,50	R$ 0,05	R$ 1,22	4%	R$ 1,41
851	KIT4YW640	Sh1: 23394202874 / Sh2: 19998199913 / Sh3: 18198243653	KIT4YW640	Kit 4pç 640ml Retangular	R$ 24,25	R$ 52,90	R$ 10,58	R$ 0,00	R$ 4,00	R$ 3,70	R$ 0,00	R$ 0,00	R$ 2,12	R$ 3,70	R$ 1,20	R$ 0,50	R$ 0,05	R$ 1,90	2%	R$ 0,89
760	KIT4YW520SQ	Sh1: 21899650905 / Sh2: 19998199913 / Sh3: 23198681121	KIT4YW520SQ	Kit 4pç 520ml Quadrado	R$ 21,70	R$ 57,90	R$ 11,58	R$ 0,00	R$ 4,00	R$ 4,05	R$ 0,00	R$ 0,00	R$ 2,32	R$ 4,05	R$ 1,20	R$ 0,50	R$ 0,05	R$ 2,08	11%	R$ 6,36
1.355	KIT2YW520SQ	Sh1: 21598077573 / Sh2: 23398676206 / Sh3: 23398676224	KIT2YW520SQ	Kit 2pç 520ml Quadrado	R$ 11,23	R$ 37,90	R$ 7,58	R$ 0,00	R$ 4,00	R$ 2,65	R$ 0,00	R$ 0,00	R$ 1,52	R$ 2,65	R$ 1,20	R$ 0,50	R$ 0,05	R$ 1,36	14%	R$ 5,15
1.959	KIT2YW320	Sh1: 23198699647 / Sh2: 23094187601 / Sh3: 22298562359	KIT2YW320	Kit 2pç 320ml Quadrado	R$ 9,19	R$ 25,90	R$ 5,18	R$ 0,00	R$ 4,00	R$ 1,81	R$ 0,00	R$ 0,00	R$ 1,04	R$ 1,81	R$ 1,20	R$ 0,50	R$ 0,05	R$ 0,93	1%	R$ 0,19
