nf_destinatario,cnpj,componente,descricao,quantidade,custo_unitario,preco_interno_1_05,valor_total,icms_18,cfop,origem,ncm
GB Comércio,07.194.128/0001-82,IMB501C,"Conjunto de 5 Potes, Tampa Cinza",252,7.82,8.211,2069.17,372.45,5.102,2,7013.49.00
GB Comércio,07.194.128/0001-82,IMB501P,"Conjunto de 5 Potes, Tampa Preta",1906,7.82,8.211,15650.17,2817.03,5.102,2,7013.49.00
GB Comércio,07.194.128/0001-82,IMB501V,"Conjunto de 5 Potes, Tampa Vermelha",291,7.82,8.211,2389.4,430.09,5.102,2,7013.49.00
GB Comércio,07.194.128/0001-82,YW1050,Pote Hermético Retangular 1050ml,1426,7.59,7.9695,11364.51,2045.61,5.102,2,7013.49.00
GB Comércio,07.194.128/0001-82,YW1520,Pote Hermético Retangular 1520ml,1146,10.05,10.5525,12093.17,2176.77,5.102,2,7013.49.00
GB Comércio,07.194.128/0001-82,YW320SQ,Pote Hermético Quadrado 320ml,724,3.8,3.99,2888.76,519.98,5.102,2,7013.49.00
GB Comércio,07.194.128/0001-82,YW520SQ,Pote de Vidro Hermético 520ml QUADRADO 14x14x7,142,4.7,4.935,700.77,126.14,5.102,2,7013.49.00
GB Comércio,07.194.128/0001-82,YW640,Pote Hermético Retangular 640ml,814,5.28,5.544,4512.82,812.31,5.102,2,7013.49.00
GB Comércio,07.194.128/0001-82,YW800SQ,Pote de Vidro Hermético 800ml QUADRADO 16x16x7,94,6.11,6.4155,603.06,108.55,5.102,2,7013.49.00
Trades,45.200.547/0001-79,IMB501C,"Conjunto de 5 Potes, Tampa Cinza",564,7.82,8.211,4631.0,833.58,5.102,2,7013.49.00
Trades,45.200.547/0001-79,IMB501P,"Conjunto de 5 Potes, Tampa Preta",18,7.82,8.211,147.8,26.6,5.102,2,7013.49.00
Trades,45.200.547/0001-79,YW1050,Pote Hermético Retangular 1050ml,56,7.59,7.9695,446.29,80.33,5.102,2,7013.49.00
Trades,45.200.547/0001-79,YW1520,Pote Hermético Retangular 1520ml,414,10.05,10.5525,4368.73,786.37,5.102,2,7013.49.00
Trades,45.200.547/0001-79,YW320SQ,Pote Hermético Quadrado 320ml,27,3.8,3.99,107.73,19.39,5.102,2,7013.49.00
Trades,45.200.547/0001-79,YW520SQ,Pote de Vidro Hermético 520ml QUADRADO 14x14x7,31,4.7,4.935,152.98,27.54,5.102,2,7013.49.00
Trades,45.200.547/0001-79,YW640,Pote Hermético Retangular 640ml,36,5.28,5.544,199.58,35.92,5.102,2,7013.49.00
Trades,45.200.547/0001-79,YW800SQ,Pote de Vidro Hermético 800ml QUADRADO 16x16x7,61,6.11,6.4155,391.35,70.44,5.102,2,7013.49.00
Broglio,63.922.116/0001-06,IMB501P,"Conjunto de 5 Potes, Tampa Preta",51,7.82,8.211,418.76,75.38,5.102,2,7013.49.00
Broglio,63.922.116/0001-06,YW1050,Pote Hermético Retangular 1050ml,137,7.59,7.9695,1091.82,196.53,5.102,2,7013.49.00
Broglio,63.922.116/0001-06,YW1520,Pote Hermético Retangular 1520ml,687,10.05,10.5525,7249.57,1304.92,5.102,2,7013.49.00
Broglio,63.922.116/0001-06,YW320SQ,Pote Hermético Quadrado 320ml,35,3.8,3.99,139.65,25.14,5.102,2,7013.49.00
Broglio,63.922.116/0001-06,YW520SQ,Pote de Vidro Hermético 520ml QUADRADO 14x14x7,3,4.7,4.935,14.8,2.66,5.102,2,7013.49.00
Broglio,63.922.116/0001-06,YW640,Pote Hermético Retangular 640ml,79,5.28,5.544,437.98,78.84,5.102,2,7013.49.00
Broglio,63.922.116/0001-06,YW800SQ,Pote de Vidro Hermético 800ml QUADRADO 16x16x7,47,6.11,6.4155,301.53,54.28,5.102,2,7013.49.00
